language;category;theme;groupId;groupTitle;subtopicId;subtopicTitle;title;synthesiaId;order
tr;helse;mat_og_helse;;;hijyen;Hijyen;Hijyen;fa7bcae2-1481-43a5-b580-faf5d6a4857e;26
tr;helse;mat_og_helse;;;örnek_vaka;Örnek Vaka;Örnek Vaka;a93f392b-1335-4e02-81a8-5413ec52daf2;27
tr;helse;mat_og_helse;;;özet;Özet;Özet;8d796d6c-0a7f-49ad-b598-fe07ceacbeab;28
tr;helse;fysisk_aktivitet;;;giriş;Giriş;Giriş;e27cec0c-8991-43ac-9fb0-92d38df2d404;1
tr;helse;fysisk_aktivitet;;;yeni_kelimeler;Yeni kelimeler;Yeni kelimeler;3d99d2a1-b9d0-48e7-9815-17b7f427e119;2
tr;helse;fysisk_aktivitet;;;fiziksel_olarak_aktif_olun;Fiziksel olarak aktif olun;Fiziksel olarak aktif olun;801d5d2c-9257-4a04-af3a-2b357413e4ed;3
tr;helse;fysisk_aktivitet;;;yeni_kelimeler;Yeni kelimeler;Yeni kelimeler;fa2ce857-d8a2-47a6-a8ba-c5df0056c759;4
tr;helse;fysisk_aktivitet;;;yoğun_antrenman;Yoğun antrenman;Yoğun antrenman;9b307253-6c83-4f00-8bdd-dfddaef6977f;5
tr;helse;fysisk_aktivitet;;;yeni_kelimeler;Yeni kelimeler;Yeni kelimeler;bf0e6137-a3fc-47a9-b6dc-5456ecea91fd;6
tr;helse;fysisk_aktivitet;;;ağırlıklı_antrenman;Ağırlıklı antrenman;Ağırlıklı antrenman;d434566f-d987-421a-ae4d-23158c82b693;7
tr;helse;fysisk_aktivitet;;;yeni_kelimeler;Yeni kelimeler;Yeni kelimeler;8f68eeea-0c6b-4b48-b6e4-29d79b3460f8;8
tr;helse;fysisk_aktivitet;;;alim_ve_tüketim;Alim ve tüketim;Alim ve tüketim;1953bcc1-2402-47f3-8b95-713c9e6ca965;9
tr;helse;fysisk_aktivitet;;;yeni_kelimeler;Yeni kelimeler;Yeni kelimeler;abd16b2b-531f-4ac9-96d2-73052b32c259;10
tr;helse;fysisk_aktivitet;;;kan_şekeri;Kan şekeri;Kan şekeri;c3ae0a08-fae0-4a97-b24d-a9c6c9353575;11
tr;helse;fysisk_aktivitet;;;yeni_kelimeler;Yeni kelimeler;Yeni kelimeler;55d2bd83-5d12-4af5-ba21-c8b2c4f8af29;12
tr;helse;fysisk_aktivitet;;;kolesterol;Kolesterol;Kolesterol;e5adf2f8-f1ea-4cd1-ad47-ba1261a7fe68;13
tr;helse;fysisk_aktivitet;;;kan_basıncı ; Kan Basıncı ; Kan Basıncı ;b7e5ec8d-5ce6-4847-a9dc-690f52500a70;14
tr;helse;fysisk_aktivitet;;;kanser;Kanser;Kanser;6a6ef16a-da76-4ba9-af7e-5597000fb308;15
tr;helse;fysisk_aktivitet;;;yeni_kelimeler;Yeni kelimeler;Yeni kelimeler;5ee6cf93-3475-4fc4-be86-82c1c850892f;16
tr;helse;fysisk_aktivitet;;;beyin;Beyin;Beyin;ea2f8cbe-387a-45c8-a440-e7b8d67c35f6;17
tr;helse;fysisk_aktivitet;;;yeni_kelimeler;Yeni kelimeler;Yeni kelimeler;ed26a21d-51e7-47fc-84e0-755899ece097;18
tr;helse;fysisk_aktivitet;;;ağrı ;Ağrı ;Ağrı ;cf337f49-2187-45e0-91c8-38681342dc94;19
tr;helse;fysisk_aktivitet;;;yeni_kelimeler;Yeni kelimeler;Yeni kelimeler;2bd17f6f-2644-4daa-bc7c-b44c56860ee8;20
tr;helse;fysisk_aktivitet;;;kas_ve_iskelet;Kas ve iskelet;Kas ve iskelet;931fd39a-b192-4656-ad21-c04852a51568;21
tr;helse;fysisk_aktivitet;;;diğer_hususlar;Diğer hususlar;Diğer hususlar;e2e605f5-5d6e-4c53-9dca-459a894b34c4;22
tr;helse;fysisk_aktivitet;;;örnek_vaka;Örnek Vaka;Örnek Vaka;e65cde41-a300-41cd-82c7-bbdba3c3b271;23
tr;helse;fysisk_aktivitet;;;özet;Özet;Özet;cdc21896-a92e-42ca-978f-34dae24a5528;24
tr;helse;munnhelse;;;giriş;Giriş;Giriş;64cc0077-2bda-4802-b5f5-847e590ae9ac;1
tr;helse;munnhelse;;;yeni_kelimeler;Yeni kelimeler;Yeni kelimeler;5d611dc5-191a-4c12-afd3-aacdf5b7cc5a;2
tr;helse;munnhelse;;;haklar;Haklar;Haklar;3c918375-7231-4aa3-9e10-07bbc9ac521e;3
tr;helse;munnhelse;;;dişlerinizi_temiz_tutun;Dişlerinizi Temiz Tutun;Dişlerinizi Temiz Tutun;d68226ea-9808-45c5-8ba4-b1dfec43b81b;4
tr;helse;munnhelse;;;diş_sağlığı_kontrolüne_gidin;Diş Sağlığı Kontrolüne Gidin;Diş Sağlığı Kontrolüne Gidin;643b7eaf-049b-48d1-8d99-c2539dd5c073;5
tr;helse;munnhelse;;;ağız_sağlığı_için_beslenme_tavsiyeleri;Ağız Sağlığı İçin Beslenme Tavsiyeleri;Ağız Sağlığı İçin Beslenme Tavsiyeleri;38411b49-49de-4f54-8034-740721ae24c9;6
tr;helse;munnhelse;;;çocuklar_için_ağız_sağlığı;Çocuklar İçin Ağız Sağlığı;Çocuklar İçin Ağız Sağlığı;56187ee0-2887-42f7-a3bc-3023a5ee821d;7
tr;helse;psykisk_helse;psykisk_helse;Psykisk helse;giriş;Giriş;Giriş;321539ef-8527-4d70-b530-c720ac0c27c2;1
tr;helse;psykisk_helse;psykisk_helse;Psykisk helse;yeni_kelimeler;Yeni kelimeler;Yeni kelimeler;c915c369-9654-4aa8-b722-efc76a837df4;2
tr;helse;psykisk_helse;psykisk_helse;Psykisk helse;ruh_sağlığı; Ruh Sağlığı; Ruh Sağlığı;456e8816-e43a-471f-ab47-e4cd4f9cfdb8;3
tr;helse;psykisk_helse;psykisk_helse;Psykisk helse;kendi_üzerinde_düşünme_çalışma;Kendi Üzerinde Düşünme Çalışma;Kendi Üzerinde Düşünme Çalışma;029ce277-4557-46d3-9d92-a079bc455457;4
tr;helse;psykisk_helse;psykisk_helse;Psykisk helse;ruh_sağlığı_sorunları;Ruh sağlığı sorunları;Ruh sağlığı sorunları;e3afa680-0ae3-4b95-894c-c0854684e8aa;5
tr;helse;psykisk_helse;psykisk_helse;Psykisk helse;örnek_vaka;Örnek Vaka;Örnek Vaka;471e18f4-125e-4ca6-a395-e218750e5b53;6
tr;helse;psykisk_helse;psykisk_helse;Psykisk helse;ruhsal_bozukluklar ;Ruhsal Bozukluklar ;Ruhsal bozukluklar ;97bfb962-5ec1-4907-95f3-5da5ba862e06;7
tr;helse;psykisk_helse;psykisk_helse;Psykisk helse;örnek_vaka;Örnek Vaka;Örnek Vaka;1ac2f3b7-87fe-48e6-aba9-e19b5dff1316;8
tr;helse;psykisk_helse;psykisk_helse;Psykisk helse;psikolojik_sağlığınıza_nasıl_dikkat_etmelisiniz;Psikolojik Sağlığınıza Nasıl Dikkat Etmelisiniz?;Psikolojik Sağlığınıza Nasıl Dikkat Etmelisiniz?;22113174-51bc-480f-81e6-b2a6ba1e416f;9
tr;helse;psykisk_helse;psykisk_helse;Psykisk helse;nerden_yardım_alabilirsin;Nerden Yardim alabilirsin?;Nerden Yardim alabilirsin?;cb0a285c-f846-443d-b622-fec5d5bdda40;10
tr;helse;psykisk_helse;psykisk_helse;Psykisk helse;nerden_yardım_alabilirsin;Kriz ve kaza;Kriz ve kaza;82d8dbfb-e0a0-4239-a952-1b5eef915db0;11
tr;helse;psykisk_helse;psykisk_helse;Psykisk helse;nerden_yardım_alabilirsin;Acil servis ve acil yardım;Acil servis ve acil yardım;c4562542-043d-4727-95e7-ea7ff89c3d4e;12
tr;helse;psykisk_helse;psykisk_helse;Psykisk helse;nerden_yardım_alabilirsin;Oslo belediyesi hizmetleri;Oslo belediyesi hizmetleri;fb067a71-6f3c-46b7-9486-81428eaf3cc2;13
tr;helse;psykisk_helse;psykisk_helse;Psykisk helse;nerden_yardım_alabilirsin;Oslo'daki gönüllü hizmetler;Oslo'daki gönüllü hizmetler;c264ca38-2aea-4cb6-b891-53035688e926;14
tr;helse;psykisk_helse;psykisk_helse;Psykisk helse;özet;Özet;Özet;39c0ce94-c0d9-42b2-8f68-d916ba8113ee;15
tr;helse;psykisk_helse;aile_hekimi;Aile hekimi;giriş;Giriş;Giriş;a1f79b0f-7c20-4e69-9785-b46591217f7f;16
tr;helse;psykisk_helse;aile_hekimi;Aile hekimi;yeni_kelimeler;Yeni kelimeler;Yeni kelimeler;67114303-83ad-4200-ac8c-fd834f97de25;17
tr;helse;psykisk_helse;aile_hekimi;Aile hekimi;aile_hekimi;Aile hekimi;Aile hekimi;22989b6e-7bc8-4689-afe2-51265881313e;18
tr;helse;psykisk_helse;aile_hekimi;Aile hekimi;haklar;Haklar;Haklar;e9c49af8-e492-461e-907d-493a5e7e6155;19
tr;helse;psykisk_helse;aile_hekimi;Aile hekimi;özet;Özet;Özet;6e450ec6-4e08-4627-af3d-28e43908cd1b;20
tr;helse;psykisk_helse;stres;Stres;giriş;Giriş;Giriş;2183c818-d2b4-4429-ba1a-28f9e183dc07;21
tr;helse;psykisk_helse;stres;Stres;yeni_kelimeler;Yeni kelimeler;Yeni kelimeler;0e2356a0-9bbd-480e-9b04-105dcefb523a;22
tr;helse;psykisk_helse;stres;Stres;stres;Stres;Stres;22b0abe4-5b48-409f-8bf9-890efe6712f7;23
tr;helse;psykisk_helse;stres;Stres;Norveçte_yeni_olanlar_için_stres;Norveçte yeni olanlar için stres;Norveçte yeni olanlar için stres;9f06e2a3-af0d-4c77-8c6d-402c2a045e96;24
tr;helse;psykisk_helse;stres;Stres;örnek_vaka;Örnek Vaka;Örnek Vaka;8fa695b4-2770-4842-9701-13db8f5a6f30;25
tr;helse;psykisk_helse;stres;Stres;stresi_yönetmek;Stresi yönetmek;Stresi yönetmek;83bde751-9c85-40f6-a505-0146c84f6194;26
tr;helse;psykisk_helse;stres;Stres;örnek_vaka;Örnek Vaka;Örnek Vaka;cda2f74e-f1b3-488d-b1cd-79c2771236f2;27
tr;helse;psykisk_helse;stres;Stres;özet;Özet;Özet;1d4bf8c5-d8bf-4e5a-8266-4ade9095eeaa;28
tr;helse;psykisk_helse;zorbalık;Zorbalık;giriş;Giriş;Giriş;09f68d7b-0eed-4c1c-8034-145cd97f0963;29
tr;helse;psykisk_helse;zorbalık;Zorbalık;yeni_kelimeler;Yeni kelimeler;Yeni kelimeler;a0f37aca-2b34-476d-aaf5-8bc9e1782a25;30
tr;helse;psykisk_helse;zorbalık;Zorbalık;zorbalık;Zorbalık;Zorbalık;57c2ae89-62d8-46f7-9204-bc8b85c5edc2;31
tr;helse;psykisk_helse;zorbalık;Zorbalık;sonuçlar;Sonuçlar;Sonuçlar;f6f20e88-c364-4c74-8f7a-f814a88f04f8;32
tr;helse;psykisk_helse;zorbalık;Zorbalık;zorba;zorba;Zorba;fdcefed4-b03f-4136-8ad6-e96291759faf;33
tr;helse;psykisk_helse;zorbalık;Zorbalık;nerden_destek_alabilirsin;Nerden destek alabilirsin?;Nerden destek alabilirsin?;a818636b-4371-4844-8356-7fcabe7a8870;34
tr;helse;psykisk_helse;zorbalık;Zorbalık;birine_zorbalık_yaptıniz_mı;Birine_zorbalık_yaptnız_mı?;Birine_zorbalık_yaptnız_mı?;80b583ec-3eeb-4de2-8390-59e57f1dd0e5;35
tr;helse;psykisk_helse;zorbalık;Zorbalık;özet;Özet;Özet;"9c25a86e-807b-48fb-84a2-8cc41ac7bac0""";36
;;;;;;;;;
