language;category;theme;groupId;groupTitle;subtopicId;subtopicTitle;title;synthesiaId;order;;;
no;helse;fysisk_aktivitet;trening ;Trening;introduksjon;Introduksjon;Introduksjon;74ec3801-fd01-45d2-a96d-b527dcde8b66;1;;;
no;helse;fysisk_aktivitet;trening ;Trening;nye_ord;Nye ord ;Nye ord;cc0045b1-f4e7-4a33-a03c-ee3e1f9aefa0;2;;;
no;helse;fysisk_aktivitet;trening ;Trening;vaer_fysisk_aktiv;Vær fysisk aktiv;Vær fysisk aktiv;a0960c5e-f593-4acd-9346-388b6181cd38;3;;;
no;helse;fysisk_aktivitet;trening ;Trening;nye_ord;Nye ord ;Nye ord;9857cb72-9b40-4120-979b-c9664efedf63;4;;;
no;helse;fysisk_aktivitet;trening ;Trening;intensivtrening;Intensivtrening;Intensivtrening;9847ef5a-ee53-4e9d-879a-c2160e36db67;5;;;
no;helse;fysisk_aktivitet;trening ;Trening;nye_ord;Nye ord ;Nye ord;c398af6e-29d8-4307-961c-0007c7d6f52b;6;;;
no;helse;fysisk_aktivitet;trening ;Trening;styreketrening;Styrketrening;Styrketrening;4ba9996d-b1fb-4cb6-bce6-bfc387efcc38;7;;;
no;helse;fysisk_aktivitet;kropp_og_helse;Kropp og helse;nye_ord;Nye ord ;Nye ord;44a79d6a-4730-4b3b-80b8-61bbbc9f447e;8;;;
no;helse;fysisk_aktivitet;kropp_og_helse;Kropp og helse;energiinntak_og_energiforbruk;Energiinntak og energiforbruk;Energiinntak og energiforbruk ;236968bf-81de-4610-b1c0-9c8b4ff331e8;9;;;
no;helse;fysisk_aktivitet;kropp_og_helse;Kropp og helse;nye_ord;Nye ord ;Nye ord;88c2e63c-503d-42b5-8bc2-538faecdd553;10;;;
no;helse;fysisk_aktivitet;kropp_og_helse;Kropp og helse;blodsukker;Blodsukker;Blodsukker;2a6265dd-168d-4942-84b8-9533fd04f0b9;11;;;
no;helse;fysisk_aktivitet;kropp_og_helse;Kropp og helse;nye_ord;Nye ord ;Nye ord;12ab8ddd-14ce-46a5-b44b-4fd372e15462;12;;;
no;helse;fysisk_aktivitet;kropp_og_helse;Kropp og helse;kolestrol;Kolestrol;Kolestrol;0da96cbb-4a92-4f30-b0d2-e2bae6bc16de;13;;;
no;helse;fysisk_aktivitet;kropp_og_helse;Kropp og helse;nye_ord;Nye ord ;Nye ord;efbfbcb3-9ba2-49d8-838d-7a55004b6db7;14;;;
no;helse;fysisk_aktivitet;kropp_og_helse;Kropp og helse;blodtrykk;Blodtrykk;Blodtrykk;d204d7a4-a299-4bfc-a46a-5176ee5b988f;15;;;
no;helse;fysisk_aktivitet;kroppen ;Kroppen;nye_ord;Nye ord ;Nye ord;ac945980-bcdf-40ad-8bcb-67cb23bedd74;16;;;
no;helse;fysisk_aktivitet;kroppen ;Kroppen;kreft;Kreft;Kreft;170d083a-f8ac-4b16-8394-1c4bbe2e2459;17;;;
no;helse;fysisk_aktivitet;kroppen ;Kroppen;nye_ord;Nye ord ;Nye ord;d5076ee5-f316-49e7-b9d7-f915c5e9a594;18;;;
no;helse;fysisk_aktivitet;kroppen ;Kroppen;hjernen;Hjernen;Hjernen;3adf971b-5fb5-441f-ad2f-9207b0ac66d5;19;;;
no;helse;fysisk_aktivitet;kroppen ;Kroppen;nye_ord;Nye ord ;Nye ord;989461dc-db2f-4283-bb9c-d5925b4fa74b;20;;;
no;helse;fysisk_aktivitet;kroppen ;Kroppen;smerte;Smerte;Smerte;2393f3e9-49f4-4dd9-afa5-a0938f18ae14;21;;;
no;helse;fysisk_aktivitet;kroppen ;Kroppen;nye_ord;Nye ord ;Nye ord;f7a8e027-4683-4ed0-8116-94d05240bdac;22;;;
no;helse;fysisk_aktivitet;kroppen ;Kroppen;muskler_og_skjelett;Muskler og skjelett;Muskler og skjelett;543fc567-d06f-4ab0-8a14-4a8dd0a00a4d;23;;;
no;helse;fysisk_aktivitet;kroppen ;Kroppen;andre_aspekter;Andre aspekter;Andre aspekter;182e8bc6-f76f-43c9-bc19-3ef7098e7611;24;;;
no;helse;fysisk_aktivitet;kroppen ;Kroppen;caser;Caser;Caser;e7c6865-e7b1-415f-9135-755e74ad5154;25;;;
no;helse;fysisk_aktivitet;kroppen ;Kroppen;oppsummering;Oppsummering;Oppsummering;df9163d8-f5ed-4e0d-81a7-40389dbf0071;24;;;
no;helse;munnhelse;;;introduksjon;Introduksjon;Introduksjon;caa06ed5-019f-42bc-9d9c-aa47434d211c;1;;;
no;helse;munnhelse;;;nye ord ;Nye ord ;Nye ord;e72cfdf6-95c4-423d-a33e-156ed5b692f6;2;;;
no;helse;munnhelse;;;rettigheter;Rettigheter;Rettigheter;9879e589-ccc3-4ed0-91a8-64a4dff0bc86;3;;;
no;helse;munnhelse;;;hold_tennene_rene;Hold tennene rene ;Hold tennene rene ;3f197509-2239-4463-9e64-6ab2fb662f8c;4;;;
no;helse;munnhelse;;;tannhelsekontroll;Gå til tannhelsekontroll;Gå til tannhelsekontroll;ce268308-ba3b-4710-80d6-b6fe1859ae1b;5;;;
no;helse;munnhelse;;;kostraad_munnhelse;Kostråd for munnhelsen;Kostråd for munnhelsen;3a18ed69-b32a-406e-8181-11489801d3c0;6;;;
no;helse;munnhelse;;;munnhelse_hos_barn;Munnhelse hos barn ;Munnhelse hos barn;d7859df5-fba4-425f-b4b1-14f8d1920751;7;;;
no;helse;psykisk_helse;psykisk_helse;Psykisk helse;introduksjon;Introduksjon;Introduksjon;e62ac278-43e7-46b4-a683-9e8f60419ae2;1;;;
no;helse;psykisk_helse;psykisk_helse;Psykisk helse;nye ord ;Nye ord ;Nye ord;d5826660-15e9-4922-9bcd-ffaaeffbc126;2;;;
no;helse;psykisk_helse;psykisk_helse;Psykisk helse;psyksik_helse;Psykisk helse;Psykisk helse;fc968d7d-993f-4638-93fb-ab2cf8428e91;3;;;
no;helse;psykisk_helse;psykisk_helse;Psykisk helse;psykiske_helseplager;Psykisk helseplager;Psykisk helseplager;54cfb0d0-190c-41d4-b7a9-9f43a5bacb79;4;;;
