language;category;theme;groupId;groupTitle;subtopicId;subtopicTitle;title;synthesiaId;order;;;
en;health;vold_i_naere_relasjoner;;;close_relationships;Close Relationships;Close Relationships;6f52b1f1-c5c3-4974-babe-fd14e4b5f163;4;;;
en;health;vold_i_naere_relasjoner;;;duty_to_prevent_harm;Duty to Prevent Harm;Duty to Prevent Harm;2f2d659b-422d-4942-a026-a5986108d138;5;;;
en;health;vold_i_naere_relasjoner;;;duty_of_Confidentiality;Duty of Confidentiality;Duty of Confidentiality;9c968c09-e545-4f0c-a441-d9d00a721458;6;;;
en;health;vold_i_naere_relasjoner;;;sign_og_violence;Sign of Violence;Signs of Violence;57f0fcf8-88be-4e99-8932-402a57a66b16;7;;;
en;health;vold_i_naere_relasjoner;;;who_can_help_part1;Who Can Help, part 1;Who Can Help, Part 1;19ca4a31-40a5-4c4d-9a5a-0740106f0579;8;;;
en;health;vold_i_naere_relasjoner;;;who_can_help_part2;Who Can Help, part 2;Who Can Help, Part 2;789e6ecc-5274-495c-a5e6-73ea98db9ff7;9;;;
en;health;vold_i_naere_relasjoner;;;case;case;Case;f2a6ce72-967d-420b-9333-ad4062fe08d5;10;;;
;;;;;;;;;;;;
en;health;fysisk_aktivitet;;;introduction;Introduction;Introduction ;0aa33e9e-372f-4ff2-aa80-17435821b36d;1;;;
en;health;fysisk_aktivitet;;;new_words;New Words;New Words;22811fac-44d8-4392-88dd-935a3701de74;2;;;
en;health;fysisk_aktivitet;;;be_physically_active;Be Physically Active;Be Physically Active;e7b15a72-c530-486d-a40c-f8b5fe8191d3;3;;;
en;health;fysisk_aktivitet;;;new_words;New Words;New Words;c4124b35-3b7e-44c4-9300-34132ad0af88;4;;;
en;health;fysisk_aktivitet;;;high_intensity_training;High-intensity Training;High-intensity Training;2bc16fc3-bf58-433b-b5fd-6a0bcecd79e9;5;;;
en;health;fysisk_aktivitet;;;new_words;New Words;New Words;22b172fa-9100-4f3c-8f69-4627693b4249;6;;;
en;health;fysisk_aktivitet;;;strength_training;Strength Training;Strength Training;0c4f8ff3-9ca3-40be-b01d-6c14d5d65350;7;;;
en;health;fysisk_aktivitet;;;new_words;New Words;New Words;17c21877-b176-4f05-bcdb-c96ea19bc10e;8;;;
en;health;fysisk_aktivitet;;;intake_and_expenditure;Intake And Expenditure;Intake And Expenditure;3ca17334-6f2e-497d-890b-9c57f1e86642;9;;;
en;health;fysisk_aktivitet;;;new_words;New Words;New Words;720fdce2-7bc6-4ca2-b866-a7ce12d8c353;10;;;
en;health;fysisk_aktivitet;;;blood_sugar;Blood Sugar;Blood Sugar;f7fadaa6-3956-43d9-97b8-584689c18d41;11;;;
en;health;fysisk_aktivitet;;;new_words;New Words;New Words;8abc83c-5720-4ae6-8688-52117b990222;12;;;
en;health;fysisk_aktivitet;;;cholestrol;Cholestrol;Cholestrol;d10e3e90-0c3c-40a7-97de-4aebcc2d2fd6;13;;;
en;health;fysisk_aktivitet;;;new_words;New Words;New Words;aea3221b-00de-4cc1-bd82-09a7cc7e23d9;14;;;
en;health;fysisk_aktivitet;;;blood_pressure;Blood Pressure;Blood Pressure;00ce68df-7ea5-4b7d-adfa-228a16731ade;15;;;
en;health;fysisk_aktivitet;;;new_words;New Words;New Words;9a95a6d6-e794-4707-ab46-a4dab73ac603;16;;;
en;health;fysisk_aktivitet;;;cancer;Cancer;Cancer;7719eb28-1b2e-4514-a1f3-a5c390fd2c4f;17;;;
en;health;fysisk_aktivitet;;;new_words;New Words;New Words;ad6a16c2-1fb1-41cd-a085-35a93b923f46;18;;;
en;health;fysisk_aktivitet;;;the_brain;The Brain;The Brain;56dd38de-09a3-41cf-a728-cb778ac0e1a1;19;;;
en;health;fysisk_aktivitet;;;new_words;New Words;New Words;cbc58cb0-0bcb-41c1-a161-d6d228811f9b;20;;;
en;health;fysisk_aktivitet;;;pain;Pain;Pain ;582339c6-498f-4144-a803-77c3965036fc;21;;;
en;health;fysisk_aktivitet;;;new_words;New Words;New Words;4e20e1b7-21b0-4484-9dba-20b2982dc630;22;;;
en;health;fysisk_aktivitet;;;muscles_and_skeleton;Muscles And Skeleton;Muscles And Skeleton;0c7d843e-a804-4b23-a73f-d34b07642e97;23;;;
en;health;fysisk_aktivitet;;;cases;Cases;Cases;2e02dc20-4a31-43fd-9fde-73fd505d48c6;24;;;
en;health;fysisk_aktivitet;;;summary;Summary;Summary;9ec3f1b3-4ae1-49e0-b2a4-c3bf8676d9fb;25;;;
;;;;;;;;;;;;
en;health;munnhelse;;;introduction;Introduction;Introduction ;3f5998a5-6bfb-4860-98ae-fc719aa5c66d;1;;;
en;health;munnhelse;;;new_words;New Words;New Words;14a8194b-93ec-423c-ac23-17f3cb2b2eb0;2;;;
en;health;munnhelse;;;rights;Rights;Rights;e53a8458-4db1-42d4-8d2f-cd57e0235bab;3;;;
en;health;munnhelse;;;keep_your_teeth_cleen;Keep Your Teeth Cleen;Keep Your Tetth Cleen;447789ad-494f-4e38-afaa-5db1c95a0507;4;;;
en;health;munnhelse;;;go_for_dental_checkup;Go For Dental Chekup;Go For Dental Chekup;bd918efb-0b1b-4eca-8a85-f0b135186e84;5;;;
en;health;munnhelse;;;dietary_advice_for_oral_health;Dietary Advice For Oral Health;Dietary Advice For Oral Health;ddc3adde-c050-4ac5-a9f8-7889ed773108;6;;;
en;health;munnhelse;;;oral_health_in_children;Oral Health In Children;Oral Health In Children;c97cfa0a-95b7-46f4-bfa7-78350568286d;7;;;
en;health;munnhelse;;;;;;;;;;
;;;;;;;;;;;;
en;health;psykisk_helse;psykisk_helse;Psykisk helse;introduction;Introduction;Introduction ;;;;;
en;health;psykisk_helse;psykisk_helse;Psykisk helse;new_words;New Words;New Words;;;;;
en;health;psykisk_helse;psykisk_helse;Psykisk helse;mental_health;Mental Health;Mental Health;;;;;
en;health;psykisk_helse;psykisk_helse;Psykisk helse;reflective_task;Reflective Task;Reflective Task;;;;;
en;health;psykisk_helse;psykisk_helse;Psykisk helse;mental_health_problems;Mental Health Problems;Mental Health Problems;;;;;
en;health;psykisk_helse;psykisk_helse;Psykisk helse;case;Case;Case;;;;;
en;health;psykisk_helse;psykisk_helse;Psykisk helse;mental_disorders;Mental Disorders;Mental Disorders;;;;;
en;health;psykisk_helse;psykisk_helse;Psykisk helse;how_to_take_care_of_your_mental_health;How To Take Care Of Your Mental Health;How To Take Care Of Your Mental Health;;;;;
en;health;psykisk_helse;where_to_get_help;Where To get Help;intro;Intro;Intro;;;;;
en;health;psykisk_helse;where_to_get_help;Where To get Help;crisis_and_emergency_situations;Crisis And Emergency Situations;Crisis And Emergency Situations;;;;;
